-------[ Transition from |project://GuavaRelease14.0| to |project://GuavaRelease15.0| ]-------
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/asMap()|
    ADDED: |java+method:///com/google/common/io/CharSink/getOutput()|
    ADDED: |java+method:///com/google/common/util/concurrent/ServiceManager/Listener/failure(com.google.common.util.concurrent.Service)|
    ADDED: |java+method:///com/google/common/collect/Multimaps/filterEntries(com.google.common.collect.SetMultimap,com.google.common.base.Predicate)|
    ADDED: |java+method:///com/google/common/util/concurrent/ForwardingService/stopAsync()|
    ADDED: |java+method:///com/google/common/base/Splitter/splitToList(java.lang.CharSequence)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/startAsync()|
    ADDED: |java+method:///com/google/common/math/DoubleMath/mean(long%5B%5D)|
    ADDED: |java+method:///com/google/common/math/DoubleMath/mean(java.util.Iterator)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/startAsync()|
    DEPRECATED: |java+method:///com/google/common/hash/HashCodes/fromBytes(byte%5B%5D)|
    ADDED: |java+method:///com/google/common/io/FileBackedOutputStream/asByteSource()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/stop()|
    DELETED: |java+method:///com/google/common/primitives/UnsignedInteger/asUnsigned(int)|
    DEPRECATED: |java+method:///com/google/common/immutableEnumMap/HashCodes/fromLong(long)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/startAndWait()|
    DELETED: |java+method:///com/google/common/base/Joiner/appendTo(java.lang.StringBuilder,I)|
    DELETED: |java+method:///com/google/common/hash/Hashing/padToLong(com.google.common.hash.HashCode)|
    ADDED: |java+method:///com/google/common/base/Stopwatch/createStarted(com.google.common.base.Ticker)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedInteger/multiply(com.google.common.primitives.UnsignedInteger)|
    ADDED: |java+method:///com/google/common/util/concurrent/ServiceManager/addListener(com.google.common.util.concurrent.ServiceManager.Listener)|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/putAll(com.google.common.collect.Multimap)|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/remove(java.lang.Object,java.lang.Object)|
    ADDED: |java+method:///com/google/common/util/concurrent/ServiceManager/Listener/stopped()|
    ADDED: |java+method:///com/google/common/io/CharSource/isEmpty()|
    ADDED: |java+method:///com/google/common/collect/Multimaps/asMap(com.google.common.collect.Multimap)|
    ADDED: |java+method:///com/google/common/io/ByteStreams/asByteSink(com.google.common.io.OutputSupplier)|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/keySet()|
    DELETED: |java+method:///com/google/common/base/Stopwatch/toString(int)|
    DEPRECATED: |java+method:///com/google/common/io/ByteStreams/asByteSource(byte%5B%5D)|
    ADDED: |java+method:///com/google/common/io/ByteSource/getInput()|
    DELETED: |java+method:///com/google/common/util/concurrent/AbstractListeningExecutorService/invokeAll(java.util.Collection)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedInteger/subtract(com.google.common.primitives.UnsignedInteger)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/awaitTerminated()|
    ADDED: |java+method:///com/google/common/collect/Multimaps/asMap(com.google.common.collect.SortedSetMultimap)|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/equals(java.lang.Object)|
    DELETED: |java+method:///com/google/common/collect/ImmutableTable/toString()|
    DELETED: |java+method:///com/google/common/primitives/UnsignedInteger/add(com.google.common.primitives.UnsignedInteger)|
    DELETED: |java+method:///com/google/common/base/Joiner/MapJoiner/appendTo(A,I)|
    ADDED: |java+method:///com/google/common/collect/DiscreteDomain/bigIntegers()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/awaitRunning(long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/base/Stopwatch/createUnstarted()|
    ADDED: |java+method:///com/google/common/io/CharSource/getInput()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractService/stopAndWait()|
    DELETED: |java+method:///com/google/common/collect/ArrayTable/hashCode()|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/contains(java.lang.Object,java.lang.Object)|
    DELETED: |java+method:///com/google/common/util/concurrent/Monitor/Guard/hashCode()|
    DELETED: |java+method:///com/google/common/util/concurrent/AbstractListeningExecutorService/invokeAll(java.util.Collection,long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/hash/HashCode/fromLong(long)|
    ADDED: |java+method:///com/google/common/collect/ImmutableTable/containsValue(java.lang.Object)|
    ADDED: |java+method:///com/google/common/math/DoubleMath/mean(double%5B%5D)|
    DEPRECATED: |java+method:///com/google/common/io/BaseEncoding/encodingStream(com.google.common.io.OutputSupplier)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/awaitRunning()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/awaitRunning()|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/containsRow(java.lang.Object)|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/keys()|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/putAll(K,java.lang.Iterable)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/stopAsync()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractService/startAndWait()|
    ADDED: |java+method:///com/google/common/io/ByteSource/wrap(byte%5B%5D)|
    ADDED: |java+method:///com/google/common/io/ByteSource/concat(com.google.common.io.ByteSource%5B%5D)|
    DELETED: |java+method:///com/google/common/collect/MapMaker/makeComputingMap(com.google.common.base.Function)|
    ADDED: |java+method:///com/google/common/util/concurrent/Futures/nonCancellationPropagating(com.google.common.util.concurrent.ListenableFuture)|
    DELETED: |java+method:///com/google/common/base/Joiner/appendTo(A,I)|
    ADDED: |java+method:///com/google/common/util/concurrent/ServiceManager/Listener/healthy()|
    ADDED: |java+method:///com/google/common/hash/BloomFilter/putAll(com.google.common.hash.BloomFilter)|
    DELETED: |java+method:///com/google/common/hash/BloomFilter/expectedFalsePositiveProbability()|
    DEPRECATED: |java+method:///com/google/common/io/BaseEncoding/decodingStream(com.google.common.io.InputSupplier)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/awaitRunning(long,java.util.concurrent.TimeUnit)|
    DEPRECATED: |java+method:///com/google/common/collect/MapMaker/softValues()|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/equals(java.lang.Object)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedLong/remainder(com.google.common.primitives.UnsignedLong)|
    DEPRECATED: |java+method:///com/google/common/hash/Funnels/stringFunnel()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/start()|
    ADDED: |java+method:///com/google/common/base/Stopwatch/createUnstarted(com.google.common.base.Ticker)|
    DEPRECATED: |java+constructor:///com/google/common/base/Stopwatch/Stopwatch(com.google.common.base.Ticker)|
    DELETED: |java+method:///com/google/common/net/InternetDomainName/isValidLenient(java.lang.String)|
    DEPRECATED: |java+method:///com/google/common/net/InternetDomainName/name()|
    ADDED: |java+method:///com/google/common/collect/ContiguousSet/builder()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractService/stopAsync()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/awaitRunning(long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/hash/HashCode/fromBytes(byte%5B%5D)|
    DELETED: |java+method:///com/google/common/util/concurrent/Monitor/Guard/equals(java.lang.Object)|
    ADDED: |java+method:///com/google/common/collect/Queues/synchronizedDeque(java.util.Deque)|
    ADDED: |java+method:///com/google/common/io/ByteSink/getOutput()|
    DELETED: |java+method:///com/google/common/base/Joiner/join(I)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/awaitRunning()|
    ADDED: |java+method:///com/google/common/hash/BloomFilter/isCompatible(com.google.common.hash.BloomFilter)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/awaitTerminated()|
    DELETED: |java+method:///com/google/common/primitives/UnsignedLong/subtract(com.google.common.primitives.UnsignedLong)|
    DELETED: |java+method:///com/google/common/collect/GenericMapMaker/makeComputingMap(com.google.common.base.Function)|
    DELETED: |java+method:///com/google/common/collect/FluentIterable/toImmutableSortedSet(java.util.Comparator)|
    DELETED: |java+method:///com/google/common/base/Joiner/MapJoiner/join(I)|
    ADDED: |java+method:///com/google/common/collect/Multimaps/asMap(com.google.common.collect.SetMultimap)|
    ADDED: |java+method:///com/google/common/hash/Hashing/sipHash24(long,long)|
    DELETED: |java+method:///com/google/common/collect/FluentIterable/toImmutableSet()|
    ADDED: |java+method:///com/google/common/io/CharSource/concat(com.google.common.io.CharSource%5B%5D)|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/containsEntry(java.lang.Object,java.lang.Object)|
    ADDED: |java+method:///com/google/common/util/concurrent/ForwardingService/awaitRunning()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/stop()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/awaitTerminated(long,java.util.concurrent.TimeUnit)|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/toString()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractService/startAsync()|
    ADDED: |java+method:///com/google/common/math/DoubleMath/mean(int%5B%5D)|
    DELETED: |java+method:///com/google/common/collect/ImmutableCollection/isEmpty()|
    DELETED: |java+method:///com/google/common/collect/ImmutableTable/hashCode()|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/get(java.lang.Object,java.lang.Object)|
    DELETED: |java+method:///com/google/common/collect/FluentIterable/toSortedImmutableList(java.util.Comparator)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/stopAsync()|
    ADDED: |java+method:///com/google/common/collect/ImmutableTable/values()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/awaitTerminated(long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/hash/HashCode/fromInt(int)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/ForwardingService/stopAndWait()|
    DEPRECATED: |java+method:///com/google/common/collect/GenericMapMaker/softValues()|
    ADDED: |java+method:///com/google/common/io/Files/fileTreeTraverser()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractService/awaitRunning(long,java.util.concurrent.TimeUnit)|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/remove(java.lang.Object,java.lang.Object)|
    ADDED: |java+method:///com/google/common/util/concurrent/ForwardingService/startAsync()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/stopAndWait()|
    ADDED: |java+method:///com/google/common/collect/ImmutableTable/contains(java.lang.Object,java.lang.Object)|
    ADDED: |java+method:///com/google/common/io/ByteSource/empty()|
    ADDED: |java+method:///com/google/common/collect/Multimaps/asMap(com.google.common.collect.ListMultimap)|
-------In total 2489 methods are unchanged, 35 methods are changed, 103 methods have been added and 63 methods have been deleted.-------
-------Of these method changes, 34 consisted of newly deprecated methods and 1 methods had a signature change-------
ok
